epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8897.21,1.03027,0.46084,1.05883,0.97981,0.95065,0.97545,0.70584,1.05786,0.40102,1.06147,0.005842,0.005842,0.005842
44,9097.75,1.02087,0.46058,1.05979,0.98424,0.95626,0.97768,0.71253,1.0519,0.40085,1.0616,0.005743,0.005743,0.005743
45,9301.25,1.01668,0.45244,1.06177,0.98212,0.95116,0.97777,0.71252,1.05367,0.39594,1.06334,0.005644,0.005644,0.005644
46,9505.63,1.01144,0.45741,1.05782,0.98304,0.95037,0.977,0.71232,1.04705,0.39661,1.05668,0.005545,0.005545,0.005545
47,9706.98,1.01456,0.44898,1.05604,0.97531,0.95308,0.97539,0.70754,1.05313,0.40042,1.0599,0.005446,0.005446,0.005446
48,9910.24,1.01042,0.44692,1.05641,0.98036,0.94624,0.97721,0.71615,1.05104,0.40332,1.06418,0.005347,0.005347,0.005347
49,10110.7,1.00795,0.44441,1.05873,0.98185,0.95171,0.97789,0.71534,1.04815,0.39202,1.06031,0.005248,0.005248,0.005248
50,10311.3,1.0037,0.4408,1.05456,0.98565,0.94761,0.97757,0.71417,1.0613,0.39519,1.06427,0.005149,0.005149,0.005149
51,10515.9,1.00121,0.44334,1.05191,0.98719,0.94776,0.97783,0.7183,1.04298,0.38339,1.05314,0.00505,0.00505,0.00505
52,10718.3,0.99923,0.43994,1.04912,0.98714,0.94445,0.97513,0.71853,1.04365,0.38488,1.05747,0.004951,0.004951,0.004951
53,10923.5,0.99035,0.42888,1.0434,0.98561,0.9508,0.97831,0.71654,1.04819,0.38466,1.05262,0.004852,0.004852,0.004852
54,11125.7,0.99095,0.43156,1.03995,0.98215,0.9528,0.97833,0.7198,1.04536,0.37984,1.0529,0.004753,0.004753,0.004753
55,11328.2,0.99898,0.43503,1.0488,0.98535,0.95005,0.97738,0.72092,1.0378,0.3839,1.05739,0.004654,0.004654,0.004654
56,11530.5,0.99115,0.42846,1.05428,0.98739,0.94806,0.97858,0.72391,1.03522,0.37875,1.0569,0.004555,0.004555,0.004555
57,11732.7,0.97653,0.42533,1.03934,0.98312,0.95505,0.97965,0.72186,1.04033,0.37648,1.05351,0.004456,0.004456,0.004456
58,11935.1,0.97662,0.42418,1.03487,0.9795,0.95794,0.97918,0.72156,1.03577,0.37811,1.04692,0.004357,0.004357,0.004357
59,12137.9,0.97225,0.42256,1.03195,0.98676,0.9508,0.97944,0.72378,1.03886,0.37617,1.05166,0.004258,0.004258,0.004258
60,12340.5,0.97037,0.42042,1.03557,0.98208,0.9489,0.97788,0.72218,1.04024,0.37787,1.05071,0.004159,0.004159,0.004159
61,12542.8,0.96569,0.41511,1.03716,0.97588,0.95863,0.97862,0.7226,1.04672,0.37649,1.05414,0.00406,0.00406,0.00406
62,12745,0.9673,0.41522,1.03748,0.98352,0.95139,0.97978,0.72355,1.03965,0.37446,1.05384,0.003961,0.003961,0.003961
63,12947.1,0.95959,0.41512,1.03365,0.97772,0.95763,0.97929,0.72185,1.0453,0.37401,1.05897,0.003862,0.003862,0.003862
64,13149.3,0.95622,0.40908,1.03334,0.98124,0.95321,0.97914,0.72301,1.04423,0.37397,1.06099,0.003763,0.003763,0.003763
65,13351.6,0.94779,0.4052,1.03261,0.98307,0.9524,0.97973,0.72341,1.04004,0.36918,1.05764,0.003664,0.003664,0.003664
66,13553.7,0.9518,0.40626,1.02994,0.98027,0.95444,0.97949,0.72524,1.03738,0.36688,1.05289,0.003565,0.003565,0.003565
67,13755.8,0.9525,0.40587,1.03531,0.98377,0.95216,0.9788,0.72481,1.03912,0.36828,1.0539,0.003466,0.003466,0.003466
68,13957.7,0.93867,0.399,1.02556,0.98539,0.95278,0.9785,0.72433,1.03496,0.36694,1.05488,0.003367,0.003367,0.003367
69,14159.7,0.93861,0.39841,1.0256,0.98909,0.94958,0.97973,0.72722,1.03438,0.36378,1.0534,0.003268,0.003268,0.003268
70,14361.9,0.9289,0.39132,1.01807,0.98487,0.94883,0.9778,0.72688,1.03671,0.36435,1.04775,0.003169,0.003169,0.003169
71,14563.7,0.93689,0.39681,1.02068,0.98559,0.94989,0.97878,0.72445,1.04012,0.36522,1.0499,0.00307,0.00307,0.00307
72,14765.6,0.92449,0.39091,1.01634,0.98537,0.95091,0.97836,0.72192,1.03972,0.36785,1.04965,0.002971,0.002971,0.002971
73,14967.5,0.92326,0.39038,1.01169,0.97763,0.95558,0.97937,0.724,1.04442,0.36726,1.05192,0.002872,0.002872,0.002872
74,15169.3,0.92271,0.38882,1.01444,0.98035,0.95262,0.97997,0.7258,1.04606,0.36835,1.05205,0.002773,0.002773,0.002773
75,15371.5,0.92311,0.38687,1.00852,0.98261,0.95263,0.98002,0.72639,1.04408,0.36653,1.04627,0.002674,0.002674,0.002674
76,15573.4,0.91861,0.38459,1.01277,0.98032,0.95171,0.97721,0.72548,1.04443,0.3646,1.04784,0.002575,0.002575,0.002575
77,15775.4,0.91254,0.3842,1.00867,0.97981,0.95353,0.97628,0.72364,1.0459,0.3657,1.04882,0.002476,0.002476,0.002476
78,15977.1,0.91113,0.38192,1.00852,0.98173,0.95472,0.97931,0.72488,1.04687,0.36581,1.05102,0.002377,0.002377,0.002377
79,16179.1,0.89579,0.37392,1.00256,0.98355,0.95358,0.97901,0.72361,1.04432,0.36341,1.05102,0.002278,0.002278,0.002278
80,16381,0.89469,0.37314,0.99961,0.98455,0.9508,0.97736,0.72515,1.0464,0.3627,1.05279,0.002179,0.002179,0.002179
81,16582.9,0.90241,0.37547,1.00352,0.98035,0.95467,0.97791,0.72517,1.04693,0.36284,1.05311,0.00208,0.00208,0.00208
82,16784.6,0.89597,0.37173,1.00196,0.98581,0.94938,0.97841,0.72606,1.04502,0.36034,1.05374,0.001981,0.001981,0.001981
83,16986.5,0.88469,0.36753,0.99892,0.98153,0.95216,0.97791,0.72405,1.04754,0.36042,1.05413,0.001882,0.001882,0.001882
84,17188.3,0.8798,0.36544,0.9985,0.97844,0.95444,0.97772,0.72281,1.04728,0.35947,1.05474,0.001783,0.001783,0.001783
85,17390,0.8711,0.35866,0.99436,0.98626,0.9485,0.97952,0.72535,1.04782,0.35974,1.05335,0.001684,0.001684,0.001684
86,17591.8,0.87636,0.36173,0.99409,0.98286,0.95171,0.97831,0.72185,1.05184,0.35966,1.05403,0.001585,0.001585,0.001585
87,17793.7,0.87727,0.36141,0.9963,0.98626,0.94822,0.97775,0.72125,1.05465,0.36145,1.0554,0.001486,0.001486,0.001486
88,17995.7,0.86544,0.35509,0.99098,0.98166,0.95353,0.97674,0.72219,1.05485,0.36144,1.05515,0.001387,0.001387,0.001387
89,18197.8,0.86439,0.35428,0.99097,0.98526,0.95216,0.97729,0.72141,1.05698,0.36269,1.05634,0.001288,0.001288,0.001288
90,18400.1,0.86702,0.35116,0.98665,0.98355,0.95334,0.97787,0.72236,1.05799,0.36257,1.05549,0.001189,0.001189,0.001189
91,18602.3,0.85797,0.32444,0.98566,0.98173,0.95453,0.97753,0.7235,1.05919,0.36369,1.05627,0.00109,0.00109,0.00109
92,18804.2,0.84238,0.31663,0.98194,0.98307,0.95228,0.97643,0.72374,1.06011,0.36584,1.05654,0.000991,0.000991,0.000991
93,19006.1,0.84013,0.31379,0.97779,0.98489,0.95002,0.97612,0.72218,1.06108,0.36838,1.05747,0.000892,0.000892,0.000892
94,19207.9,0.82896,0.31218,0.9793,0.9842,0.94989,0.97628,0.7236,1.06106,0.36883,1.05806,0.000793,0.000793,0.000793
95,19409.7,0.82515,0.30864,0.97494,0.98349,0.9496,0.97592,0.7225,1.06237,0.36936,1.05958,0.000694,0.000694,0.000694
96,19611.6,0.81461,0.30512,0.96652,0.9844,0.9486,0.97614,0.72222,1.06413,0.368,1.0604,0.000595,0.000595,0.000595
97,19813.5,0.81683,0.30609,0.97204,0.98537,0.94943,0.97755,0.7218,1.06437,0.36736,1.06076,0.000496,0.000496,0.000496
98,20015.2,0.80714,0.30201,0.9692,0.98536,0.95033,0.97779,0.72238,1.06452,0.36732,1.06071,0.000397,0.000397,0.000397
99,20217,0.80318,0.29962,0.96753,0.98479,0.95034,0.97797,0.72249,1.06455,0.36699,1.06108,0.000298,0.000298,0.000298
100,20418.7,0.7998,0.29615,0.96886,0.98479,0.9508,0.97797,0.72169,1.06513,0.36632,1.0615,0.000199,0.000199,0.000199
