epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8710.51,1.05332,0.48454,1.06429,0.98612,0.93857,0.97092,0.70014,1.05929,0.40686,1.06145,0.008614,0.008614,0.008614
44,8912.7,1.048,0.48414,1.06269,0.98524,0.9427,0.97274,0.70452,1.06079,0.41502,1.06267,0.008581,0.008581,0.008581
45,9114.72,1.044,0.47685,1.06497,0.98204,0.94624,0.97552,0.70978,1.06173,0.41185,1.05749,0.008548,0.008548,0.008548
46,9316.88,1.04099,0.48368,1.06373,0.98159,0.94738,0.9757,0.70698,1.05628,0.40648,1.05694,0.008515,0.008515,0.008515
47,9518.87,1.04101,0.47701,1.06088,0.97975,0.94715,0.9745,0.70388,1.05471,0.40674,1.05835,0.008482,0.008482,0.008482
48,9720.89,1.03661,0.47304,1.06014,0.98347,0.94845,0.97808,0.71282,1.0467,0.40433,1.05607,0.008449,0.008449,0.008449
49,9923.03,1.04371,0.47918,1.05825,0.98294,0.94489,0.97683,0.71193,1.05019,0.40252,1.04926,0.008416,0.008416,0.008416
50,10125.2,1.03395,0.46589,1.05587,0.98857,0.94123,0.97651,0.71219,1.05476,0.40359,1.05467,0.008383,0.008383,0.008383
51,10327.3,1.03615,0.4738,1.06108,0.98125,0.95034,0.9785,0.72252,1.04064,0.39351,1.05388,0.00835,0.00835,0.00835
52,10529.5,1.03278,0.46952,1.05761,0.98488,0.94989,0.97754,0.71103,1.0515,0.39899,1.05501,0.008317,0.008317,0.008317
53,10731.6,1.02682,0.46175,1.05842,0.99071,0.94305,0.97855,0.71544,1.05259,0.39728,1.05509,0.008284,0.008284,0.008284
54,10933.7,1.02704,0.46188,1.05528,0.98582,0.95016,0.97796,0.71976,1.04873,0.39093,1.05153,0.008251,0.008251,0.008251
55,11135.9,1.03502,0.46767,1.05854,0.98621,0.94489,0.97696,0.71409,1.04404,0.39429,1.04948,0.008218,0.008218,0.008218
56,11337.9,1.029,0.46167,1.05494,0.98486,0.94849,0.97558,0.71391,1.04885,0.39334,1.05135,0.008185,0.008185,0.008185
57,11539.8,1.02216,0.45768,1.04958,0.98744,0.94989,0.97799,0.71852,1.04375,0.39092,1.05043,0.008152,0.008152,0.008152
58,11742,1.01533,0.45467,1.04631,0.9862,0.95171,0.97885,0.7199,1.0406,0.38564,1.04264,0.008119,0.008119,0.008119
59,11944.1,1.01442,0.45498,1.04518,0.98899,0.94134,0.97721,0.71657,1.04417,0.38395,1.05242,0.008086,0.008086,0.008086
60,12146.3,1.01864,0.45601,1.05349,0.98333,0.9549,0.97801,0.71728,1.04766,0.38123,1.05198,0.008053,0.008053,0.008053
61,12348.4,1.01264,0.45226,1.04779,0.9807,0.94934,0.97571,0.71853,1.04581,0.38507,1.0476,0.00802,0.00802,0.00802
62,12550.7,1.01047,0.45518,1.04562,0.9827,0.94624,0.97829,0.71986,1.03962,0.38206,1.04516,0.007987,0.007987,0.007987
63,12753.2,1.00864,0.45272,1.04275,0.98592,0.94715,0.97812,0.71803,1.04296,0.38508,1.04717,0.007954,0.007954,0.007954
64,12955.3,1.01051,0.44919,1.0474,0.98812,0.9508,0.98011,0.72671,1.04096,0.37997,1.0494,0.007921,0.007921,0.007921
65,13157.4,0.99958,0.44992,1.04678,0.98442,0.95016,0.97879,0.72028,1.04215,0.38297,1.04847,0.007888,0.007888,0.007888
66,13359.6,1.00281,0.44979,1.03967,0.98578,0.94726,0.97847,0.72245,1.03394,0.37998,1.04211,0.007855,0.007855,0.007855
67,13561.9,1.00797,0.44981,1.0499,0.98787,0.95034,0.97946,0.72068,1.03714,0.37716,1.04514,0.007822,0.007822,0.007822
68,13764,0.9997,0.44234,1.03655,0.98999,0.94715,0.97946,0.7244,1.04088,0.37485,1.04281,0.007789,0.007789,0.007789
69,13966.1,0.99339,0.44225,1.03807,0.97801,0.95238,0.97835,0.7222,1.03324,0.37494,1.04059,0.007756,0.007756,0.007756
70,14168.2,0.98677,0.43967,1.03379,0.97896,0.95386,0.97861,0.72313,1.03634,0.37573,1.0406,0.007723,0.007723,0.007723
71,14370.4,0.99697,0.44421,1.04024,0.98397,0.94897,0.97785,0.71961,1.03694,0.37622,1.0493,0.00769,0.00769,0.00769
72,14572.5,0.99038,0.43877,1.03656,0.9845,0.95473,0.97833,0.72353,1.03588,0.37685,1.04576,0.007657,0.007657,0.007657
73,14774.4,0.99161,0.43942,1.03322,0.98929,0.94487,0.97801,0.72163,1.03943,0.37264,1.0443,0.007624,0.007624,0.007624
74,14976.4,0.99493,0.43922,1.03917,0.98572,0.94346,0.97689,0.72268,1.04126,0.3717,1.04641,0.007591,0.007591,0.007591
75,15178.2,0.99537,0.43853,1.03633,0.97512,0.95444,0.9781,0.72438,1.03227,0.37194,1.04282,0.007558,0.007558,0.007558
76,15380.2,0.98963,0.43761,1.03631,0.97807,0.95262,0.97885,0.72763,1.02927,0.36743,1.03861,0.007525,0.007525,0.007525
77,15582.2,0.98263,0.43548,1.03635,0.98331,0.95308,0.97921,0.72941,1.03609,0.36659,1.04293,0.007492,0.007492,0.007492
78,15784.3,0.98354,0.43434,1.03144,0.98402,0.95388,0.97999,0.72439,1.03337,0.36506,1.04072,0.007459,0.007459,0.007459
79,15986.2,0.97349,0.42724,1.02605,0.98313,0.95353,0.98028,0.72618,1.0353,0.36733,1.04057,0.007426,0.007426,0.007426
80,16188.1,0.9742,0.42953,1.02324,0.98405,0.95399,0.97964,0.72811,1.03566,0.36329,1.03927,0.007393,0.007393,0.007393
81,16390,0.98494,0.43022,1.02999,0.98253,0.95626,0.98004,0.73012,1.03071,0.36076,1.04066,0.00736,0.00736,0.00736
82,16592.2,0.98292,0.42931,1.03124,0.98226,0.95844,0.97981,0.726,1.03122,0.3613,1.04025,0.007327,0.007327,0.007327
83,16794.3,0.9695,0.42625,1.02643,0.97901,0.95613,0.97901,0.72552,1.03323,0.36011,1.04007,0.007294,0.007294,0.007294
84,16996.4,0.96661,0.4294,1.02937,0.97683,0.96028,0.9794,0.7256,1.03559,0.3639,1.04309,0.007261,0.007261,0.007261
85,17198.6,0.96336,0.42241,1.02882,0.98361,0.95707,0.97936,0.72755,1.03498,0.3615,1.04464,0.007228,0.007228,0.007228
86,17400.7,0.96955,0.42396,1.0293,0.98277,0.95763,0.97931,0.72446,1.03567,0.35911,1.04313,0.007195,0.007195,0.007195
87,17602.6,0.96783,0.42442,1.02456,0.98083,0.95554,0.97909,0.72827,1.03428,0.3577,1.04045,0.007162,0.007162,0.007162
88,17804.7,0.96407,0.42122,1.02564,0.98667,0.9508,0.97893,0.72834,1.03547,0.35907,1.04041,0.007129,0.007129,0.007129
89,18006.7,0.96683,0.42057,1.02856,0.98876,0.9508,0.9797,0.72618,1.03504,0.35723,1.0414,0.007096,0.007096,0.007096
90,18208.7,0.96827,0.4202,1.02468,0.97995,0.95765,0.97909,0.72798,1.03458,0.35914,1.04125,0.007063,0.007063,0.007063
91,18410.7,0.95449,0.41753,1.02269,0.98048,0.96112,0.98044,0.73022,1.03485,0.35681,1.04109,0.00703,0.00703,0.00703
92,18612.8,0.96325,0.42033,1.02506,0.98287,0.95718,0.98021,0.73033,1.03244,0.35621,1.04161,0.006997,0.006997,0.006997
93,18814.9,0.96012,0.4202,1.02292,0.98046,0.96004,0.9802,0.73016,1.03338,0.35788,1.04037,0.006964,0.006964,0.006964
94,19017,0.95287,0.41532,1.02017,0.98189,0.9549,0.9792,0.72881,1.03478,0.35755,1.04122,0.006931,0.006931,0.006931
95,19219.1,0.95322,0.41325,1.01998,0.98036,0.95512,0.97876,0.72857,1.03297,0.35564,1.0383,0.006898,0.006898,0.006898
96,19421.1,0.9529,0.41219,1.02043,0.98356,0.95387,0.97883,0.72724,1.03362,0.35486,1.03789,0.006865,0.006865,0.006865
97,19623.3,0.95205,0.41481,1.02722,0.98259,0.95535,0.97862,0.72865,1.03149,0.35451,1.03812,0.006832,0.006832,0.006832
98,19825.3,0.95703,0.4136,1.02502,0.98185,0.9549,0.97823,0.7278,1.03239,0.3544,1.03883,0.006799,0.006799,0.006799
99,20027.4,0.94818,0.41161,1.01828,0.97751,0.96128,0.97826,0.72822,1.03097,0.35312,1.03878,0.006766,0.006766,0.006766
100,20229.4,0.95115,0.41706,1.01794,0.98403,0.95308,0.97825,0.72736,1.03179,0.35356,1.03808,0.006733,0.006733,0.006733
101,20431.5,0.94414,0.41007,1.01743,0.97813,0.95785,0.97868,0.72581,1.0343,0.35419,1.03874,0.0067,0.0067,0.0067
102,20633.6,0.94657,0.41133,1.01523,0.98446,0.95253,0.9793,0.72704,1.03473,0.35455,1.03908,0.006667,0.006667,0.006667
103,20835.7,0.93601,0.40542,1.01372,0.98255,0.9549,0.97889,0.72767,1.03427,0.35361,1.04146,0.006634,0.006634,0.006634
104,21037.9,0.94127,0.40949,1.01682,0.9849,0.95097,0.9783,0.7278,1.03448,0.35279,1.04115,0.006601,0.006601,0.006601
105,21239.9,0.93738,0.41038,1.00919,0.98041,0.95759,0.97867,0.72811,1.03423,0.35235,1.0407,0.006568,0.006568,0.006568
106,21442,0.94482,0.40702,1.01031,0.98091,0.95988,0.97927,0.72861,1.03494,0.35169,1.04078,0.006535,0.006535,0.006535
107,21643.8,0.93831,0.40564,1.00879,0.97911,0.96085,0.9799,0.72918,1.03495,0.35197,1.03955,0.006502,0.006502,0.006502
108,21845.8,0.92575,0.40286,1.00703,0.97725,0.95885,0.97927,0.72977,1.03468,0.35346,1.04032,0.006469,0.006469,0.006469
